WELL_NAME,LAT,LONG,X,Y
Supplejack South-1A,-39.1601521,174.2311095,415001.65556184395,411578.802207783
Pohokura South-1A,-38.9858341,174.3024331,421203.60372169607,430947.87312702375
Moturoa-7,-39.059601799999996,174.0436014,398833.26242611936,422773.85164250724
Rahotu-1,-39.2792742,173.8994324,386427.9235308825,398335.625514564
Kupe-1,-39.825880600000005,174.12728330000002,405992.5102193574,337564.29176354286
Tua Tua-1,-37.88335,174.0988694,403665.5648792763,553581.0162624983
Ngatoro-7,-39.2039075,174.17072180000002,409788.9982350777,406721.69508082414
Ariki-1,-38.1997536,173.69773940000002,368591.2293326618,518329.04825187614
Kupe South-6,-39.8509222,174.11995,405364.3053921998,334780.1147898177
Motueka-1,-40.522138399999996,173.48379430000003,351528.50749048137,259982.5473039655
